BRAND,SERIES,DETAIL_PICTURE,ARTICLE,BARCODE,NAME,ЦЕНА,AGE,COUNTRY,MATERIAL,PACK,WEIGHT,SIZE,GENRES,DESCRIPTION,SUPPLIER,PICTURES,YEAR
,,,E018,6912802010061,E018  Шмель (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/EgarW0EApuTCi,
,,,E019,6912802010078,E019  Богомол (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/IMFDTum0puTDu,
,,,E020,6912802010085,E020  Москит (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/tMSAguPSpuTFf,
,,,E022,6912802010092,E022  Бабочка (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/8Cu265WXpuTHH,
,,,E023,6912802010191,E023  Лошадь (3/40),148.50,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.9 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/AaoFfqMZpuTJU,
,,,E024,6912802010108,E024  Крачка (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/Vf9bYcJWpuTKZ,
,,,E025,6912802010115,E025  Зимородок (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/u8NLwfYApuTLt,
,,,E026,6912802010122,E026  Археоптерикс (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/tha5SHObpuTMy,
,,,E027,6912802010276,E027  Саранча (4/30),198.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/pE03CEDQpuTP7,
,,,E027A,,E027A Саранча (2/60),111.38,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/pE03CEDQpuTP7,
,,,E028,6912802010207,E028  Сверчок (3/40),148.50,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.9 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/6N9BMe-apuTQN,
,,,E029,6912802010283,E029  Тарантул (4/30),198.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/yvjkhNABpuTRX,
,,,E030,6912802010290,E030  Пчела (4/30),198.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/sAaDwYZXpuTSe,
,,,E031,             ,E031  Москит (4/30),198.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/pFiUfHBmpuTTq,
,,,E032,6912802010313,E032  Земляная оса (4/30),198.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/5aJTZxvdpuTUr,
,,,E033,6912802010320,E033  Паук (4/30),198.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/NcLZkM9hpuTWY,
,,,E033A,6912802144889,E033A Паук (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/BBWq_rKGpuTXK,
,,,E034,6912802010139,E034  Дятел (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/Ixa2hOSUpuTbf,
,,,E035,6912802010146,E035  Кроншнеп (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/-o-2JhMwpuTfa,
,,,E036,6912802010153,E036  Змеешейка (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/nEtgIv5jpuTjn,
,,,E037,6912802010160,E037  Сокол (2/60),99.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/6ie5gRX1puTor,
,,,E038,6937890500348,E038  Сова (4/30),198.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/0ETaYoszpuTqE,
,,,E039,6912802141123,E039  Попугай (4/30),198.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/xlSFs_egpuTun,
,,,E041,6912802141338,E041  Летучая мышь (4/30),198.00,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/JgHHsFz1puTwY,
,,,EC001,6912802141932,EC001  Акула (4/30),257.40,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/E7g35hvfpuaNe,
,,,EC001A,,EC001A_Акула (2/60),128.70,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/E7g35hvfpuaNe,
,,,EC002,6912802142434,EC002 Муравей (2/60),128.70,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/sCyBRn9qpuaQz,
,,,EC004,6912802142441,EC004 Бабочка (3/40),193.05,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.9 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/AipjTf2MpuaSe,
,,,EC006,6912802142458,EC006 Скорпион (4/30),257.40,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/RZQA-co1puaTm,
,,,EC007,6912802142748,EC007 Жук-холостяк (4/30),257.40,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/7LETX-HJq4wqH,
,,,EC008,6912802142021,EC008  Орел (3/40),193.05,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.9 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/g6BPRB7OpuaVj,
,,,EC009,6912802142465,EC009 Морская черепаха (4/30),257.40,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/w6zcRUJQpuaXZ,
,,,EC010,6912802142472,EC010 Краб (4/30),257.40,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/MbtxRcOgpuaYi,
,,,EC011,6912802142489,EC011  Шмель (4/30),257.40,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 1.2 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/e0dwwg2JpuaZa,
,,,EC013,6912802143370,EC013  Лев (6/20),386.10,от 3 лет,Китай,ДЕРЕВО,,,37.0 x 0.9 x 23.0 ,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/iYjjd_7mpuaan,
,,,EC015,6912802142496,EC015  Сверчок (2/60),128.70,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/phB6W5Yrq4wqf,
,,,EC016,6912802142502,EC016  Цикада (2/60),128.70,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/XREP-2qvq4wr6,
,,,EC017,6912802142519,EC017  Тарантул (2/60),128.70,от 3 лет,Китай,ДЕРЕВО,,,18.5 x 0.6 x 23.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/6RZjFNdApuacR,
